Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CAS_FGOALS-g3_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-AerChem_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1
2080,3.4017,2.95433,5.26784,3.78179,4.09487,3.78272,3.47147,3.88094,4.04075,2.91249,2.80285,4.14583,4.04108,2.844,2.97715,4.64002,3.15314,3.11789,3.59787,2.63946,4.44377,2.89763
2081,3.60453,2.92185,5.37583,3.9779,4.1985,3.87421,3.65363,3.93358,3.79367,2.922,2.88517,4.13006,4.16194,2.65674,3.06073,4.89912,3.16326,3.1629,3.83308,2.57349,4.44571,3.01998
2082,3.99656,2.99431,5.40508,3.78276,4.43962,3.71209,3.45126,4.02179,3.76258,3.01378,2.9904,4.0746,4.35782,2.57395,2.79103,4.68577,3.22815,3.31223,3.88483,2.73217,4.49609,3.0078
2083,3.88969,3.03198,5.22327,3.779,4.28395,3.91639,3.69571,4.11609,3.92401,3.00736,2.94861,4.11298,4.38561,2.55914,2.77089,4.8336,3.14727,3.25437,3.98417,2.81431,4.49349,2.94987
2084,3.51224,3.0009,5.37638,3.96034,4.33808,4.15064,3.84713,4.22877,4.03144,3.01547,2.94011,4.43402,4.43445,2.8461,2.97539,5.00883,3.20387,3.30788,4.00888,2.77991,4.47822,2.90336
2085,3.8338,3.13387,5.58707,4.17606,4.48878,4.12387,3.73589,4.07284,4.20382,3.11098,3.11379,4.29425,4.71731,2.84188,3.3181,5.20168,3.35878,3.56511,3.96349,2.89717,4.50306,3.0486
2086,3.98346,3.11332,5.61477,4.20535,4.50867,4.37925,3.7874,4.31044,4.38966,3.09267,3.15635,4.33554,4.44166,2.60296,3.15501,5.09946,3.51375,3.49836,3.99933,2.74898,4.51212,3.13828
2087,3.89415,3.29108,5.78966,3.87472,4.63121,4.37148,3.87574,4.344,4.03895,3.02402,3.07797,4.41908,4.30201,2.85903,2.90917,5.08115,3.42466,3.54216,4.13726,2.74806,4.65261,3.11755
2088,3.92354,3.14757,5.69148,3.8599,4.70375,4.31481,3.88683,4.3328,4.04647,3.17,3.2777,4.54649,4.55461,3.17448,3.14459,5.12024,3.28162,3.65654,4.2938,3.08352,4.83162,3.23717
2089,3.74509,3.13617,5.76934,4.1104,4.66851,4.42597,4.04204,4.48248,4.22521,3.18993,3.17368,4.38538,4.73798,2.94464,3.54355,5.33166,3.48758,3.6609,4.01729,3.21686,4.86566,3.23407
2090,3.87815,3.3756,5.88297,4.35984,4.64096,4.21931,3.99581,4.22589,4.69724,3.27808,3.19845,4.67686,4.8876,2.80623,3.18644,5.50541,3.54806,3.57705,4.29071,3.12524,4.89713,3.32305
2091,3.89547,3.28172,6.02149,4.35026,4.71784,4.34535,3.80275,4.48176,4.68918,3.29769,3.26598,4.85345,4.78007,3.03172,3.06502,5.57191,3.41605,3.70015,4.37747,2.90956,5.00075,3.2101
2092,4.02178,3.36568,6.18833,4.03703,4.84179,4.47196,4.1077,4.73903,4.48801,3.35676,3.23059,4.77555,4.90837,3.32064,3.25268,5.5381,3.37716,3.6481,4.18162,2.82023,4.90144,3.24639
2093,4.12644,3.49869,6.10344,4.01526,4.9535,4.555,4.42638,4.74863,4.52617,3.34658,3.26963,4.80277,5.29153,2.91875,3.45569,5.63107,3.27437,3.74478,4.34735,2.97241,4.95276,3.50077
2094,4.18807,3.54424,6.20171,4.15743,4.82372,4.58325,4.29947,4.83549,4.76519,3.36974,3.272,4.75853,5.24175,2.84359,3.23533,5.85148,3.46729,3.76714,4.49965,3.3071,4.94464,3.51337
2095,4.19871,3.51135,6.02619,4.39009,4.95614,4.67118,4.22924,4.8165,4.94613,3.30529,3.23989,4.77883,5.16828,3.23422,3.20595,5.83156,3.50278,3.83584,4.59982,3.1997,5.0043,3.32934
2096,3.98351,3.64641,6.09317,4.53968,4.99571,4.78139,4.4618,4.80415,4.74296,3.46063,3.25567,4.9533,5.31508,3.39469,3.39186,5.84509,3.53639,3.76396,4.59025,2.91886,5.083,3.48082
2097,4.16735,3.6887,6.29224,4.47827,5.19851,4.73873,4.4914,4.7546,4.7748,3.426,3.3716,5.15102,5.55724,3.0161,3.70402,6.06861,3.72478,3.82082,4.59575,3.03231,5.20625,3.47883
2098,4.38464,3.57253,6.37931,4.56496,5.20608,4.9835,4.53344,4.93018,4.91923,3.4604,3.4092,5.26111,5.3701,3.07636,3.44397,6.09195,3.76619,3.60915,4.78014,3.35528,5.26284,3.44688
2099,4.31785,3.75923,6.47685,4.6631,5.16666,4.88465,4.52018,5.01158,5.24076,3.53363,3.46538,5.11124,5.30705,3.33467,3.1606,6.13446,3.59567,3.8633,4.57486,3.59605,5.36665,3.58318
2100,4.40436,3.62177,6.43307,4.67942,5.28368,5.07948,4.57597,5.02901,5.2312,3.61322,3.57598,5.04753,5.44018,3.6474,3.53586,6.33828,3.56207,4.02905,4.84518,3.52541,5.34866,3.50469
