Year,AS-RCEC_TaiESM1_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1862,0.01846,-0.10866,-0.20286,-0.07777,0.13406,0.1238,-0.08186,-0.17004,0.02611,-0.04205,0.04892,-0.02948,-0.02192,-0.20615,-0.01151,0.04623,0.00125,-0.04603,-0.0818,0.06717,-0.02669,-0.08057,-0.27778,-0.11044,-0.10504,-0.18312,-0.12339
1863,-0.0044,-0.01088,-0.06479,-0.02467,-0.05067,0.15967,-0.08713,-0.03185,0.11913,-0.13005,-0.11695,-0.11752,-0.14159,-0.07855,-0.15414,0.19278,-0.01705,0.01455,0.0303,0.09683,0.00375,0.01375,-0.16455,-0.02101,-0.11646,-0.14672,0.04517
1864,0.11773,0.05352,-0.0768,-0.17407,-0.13892,0.08895,-0.11547,0.12401,0.12798,-0.02124,-0.16922,-0.06945,-0.05086,0.01973,-0.04213,-0.14001,0.09318,0.14402,0.10168,0.079,0.21472,-0.11391,-0.09183,0.12771,-0.01793,-0.01173,-0.08159
1865,0.13901,-0.00177,-0.19993,-0.05797,-0.07645,0.12778,-0.0621,-0.01961,-0.16835,-0.08609,-0.11469,-0.07505,0.0212,0.13127,0.11174,-0.25049,0.29611,0.22602,0.03418,-0.10957,0.16442,0.00947,-0.0479,0.18443,-0.18495,0.07125,-0.00845
1866,0.12754,0.09644,0.03825,0.02748,-0.19177,0.27555,-0.04297,0.0403,0.07629,-0.06291,0.07553,-0.05084,0.02193,0.26111,-0.23079,-0.18838,0.09826,0.21388,0.1741,-0.03107,0.01001,-0.0526,0.12685,0.35629,-0.00094,0.0697,0.00376
1867,0.05207,0.0224,0.1824,-0.09081,-0.01134,0.34377,-0.1489,0.03481,0.14782,0.03876,-0.14816,0.02479,0.01035,0.11612,0.05525,-0.10102,-0.16896,0.11695,0.27298,-0.00812,0.0576,-0.08002,0.13126,0.31794,-0.05163,0.03234,-0.10175
1868,0.06768,0.02651,0.03439,-0.02745,0.07042,0.31571,-0.10229,-0.00634,0.02395,-0.10502,-0.06946,-0.05677,0.02174,-0.02511,0.14332,0.0985,-0.0268,-0.03219,0.16335,-0.04945,-0.02767,0.02433,0.10304,-0.03043,0.01425,-0.03964,-0.16798
1869,-0.02734,0.19565,-0.00454,0.09366,0.28428,-0.00301,-0.06563,0.0603,0.14404,-0.04974,0.03417,-0.03137,0.09031,-0.08139,-0.02848,0.23874,0.04961,-0.00309,-0.04126,-0.22971,-0.01339,-0.11127,-0.07717,-0.05993,0.00502,-0.02219,-0.05464
1870,0.08097,0.14962,0.05257,0.04504,0.20913,-0.15369,-0.0471,0.05663,0.09779,0.01492,0.01401,0.03329,0.09359,0.04386,0.04022,0.0778,0.02463,0.10296,-0.11424,-0.33527,0.15472,-0.07824,0.03009,-0.12762,-0.06961,0.01409,-0.04056
1871,0.16041,-0.10377,-0.02239,0.24048,0.08844,0.12951,-0.05001,0.03993,0.20989,0.06646,-0.10213,0.09687,-0.00392,0.13092,0.12368,0.08007,0.18799,0.11547,0.01189,-0.15624,0.08282,0.0063,0.08411,-0.00834,-0.02158,0.01253,0.02065
1872,0.17106,-0.08791,-0.04166,-0.04344,0.1289,0.17364,-0.1103,-0.00185,0.0859,0.18883,0.14802,0.10521,0.04489,0.2422,-0.07449,0.04122,0.34458,0.02965,0.19447,0.11816,0.04075,-0.1592,-0.08962,0.03803,-0.11355,0.06731,-0.14784
1873,0.12593,-0.0121,0.00173,-0.16105,0.12651,0.21093,-0.073,-0.0844,0.14086,-0.09187,-0.04825,0.04439,0.02493,0.24149,0.22443,0.13486,0.05051,-0.11826,-0.02313,0.15518,0.02368,-0.26134,-0.0017,0.02645,-0.03394,-0.03986,0.03304
1874,-0.055,-0.04157,-0.07351,-0.1811,0.1091,0.16483,-0.07609,0.06274,-0.02523,0.10248,-0.17249,0.03343,-0.08576,0.15114,0.01475,0.20594,-0.00121,-0.15437,-0.15418,-0.04767,-0.08919,-0.15634,0.05752,0.28608,0.16033,0.06777,0.05591
1875,0.09023,0.02835,0.04976,0.08747,0.05465,-0.03961,0.04096,-0.15278,-0.00168,0.06005,-0.19267,0.12385,-0.01594,0.05703,-0.02889,-0.01796,0.25895,-0.01764,0.05223,-0.08352,-0.16151,0.07047,-0.02562,0.18072,0.12726,0.06784,0.10272
1876,0.20548,0.0914,0.11476,-0.15023,-0.03445,0.00534,-0.05504,-0.00015,0.03378,0.01331,-0.06497,0.04671,0.00598,0.17434,0.09606,0.02792,0.41438,0.04808,0.10338,-0.04823,-0.1434,0.00664,-0.05722,0.01516,-0.12892,-0.03291,0.00881
1877,0.16548,-0.10753,0.06703,0.01593,-0.03081,0.11636,-0.04794,0.17944,0.14844,0.11673,0.0003,-0.03085,0.17396,0.18508,-0.15316,-0.08157,0.19328,-0.00293,0.14997,0.08247,-0.06971,0.07507,0.01417,0.24918,-0.02379,-0.01607,-0.04487
