Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1895,-0.01617,0.05466,-0.11251,-0.28178,0.14246,-0.0607,-0.11414,0.01745,0.00308,0.02151,-0.00125,0.12143,-0.09013,-0.00793,-0.2356,-0.09453,0.01886,-0.00163,0.24156,-0.12441,-0.09457,0.16287,0.1664
1896,0.06034,0.01322,-0.24858,-0.08808,-0.00745,-0.08279,-0.21985,0.06365,-0.07376,0.03465,0.00391,-0.08348,0.04965,0.01431,-0.16077,0.03387,0.09295,0.06423,0.24081,-0.04401,-0.01741,0.23751,0.11182
1897,0.12661,-0.00811,-0.10847,0.0921,-0.00408,0.01272,-0.14592,0.11901,-0.03079,0.19629,0.0181,-0.0166,0.08779,0.06521,0.06824,0.07234,-0.037,0.16628,0.13245,0.00693,0.05004,0.20339,0.158
1898,0.05231,0.20272,-0.08362,0.02213,0.08649,-0.00173,-0.09287,0.17474,-0.11867,0.1113,0.07641,-0.01551,-0.00966,0.07803,0.15475,-0.00405,-0.00164,-0.01015,0.13654,0.0457,-0.01195,0.14871,0.16483
1899,0.08045,0.19596,0.06592,-0.07709,0.1578,-0.13795,-0.08473,0.1113,-0.16329,0.11131,0.10188,0.12889,0.07167,0.08072,0.01692,-0.00259,-0.07962,-0.07417,0.06322,0.14356,0.01001,0.30422,0.09346
1900,0.10183,0.17889,0.12946,-0.16353,0.11363,-0.03306,-0.17561,0.11555,-0.27901,0.06637,0.12184,0.1756,0.15131,0.16957,-0.05395,-0.02405,0.00109,-0.06946,-0.07495,0.09023,0.05045,0.35585,0.04597
1901,0.18229,0.08795,0.23566,-0.03515,0.11927,0.04819,0.06075,0.0613,-0.18008,0.09979,0.14612,0.02951,0.20378,0.1796,0.11041,0.01092,-0.15518,0.06101,0.17735,0.03146,-0.02139,0.13389,-0.033
1902,0.17813,0.19346,0.12834,0.05982,0.14907,-0.18101,-0.14481,0.08938,-0.35736,0.14666,0.17912,0.01325,-0.06335,0.0461,0.26399,-0.12288,-0.02847,0.05507,0.12267,-0.05461,0.02597,0.08636,-0.14111
1903,-0.04168,-0.03301,-0.20524,-0.20455,0.04065,-0.26949,-0.11111,-0.10933,-0.43657,-0.12752,0.01373,0.00912,-0.16725,-0.33467,-0.20682,-0.2883,-0.0356,-0.22821,-0.11356,-0.05346,-0.03018,-0.03254,-0.18296
1904,-0.01309,-0.09593,-0.17105,-0.18718,-0.01844,-0.35023,-0.11551,-0.10361,-0.45018,-0.04288,-0.09689,-0.03251,-0.09881,-0.30895,-0.13298,-0.10185,-0.13901,-0.02788,0.10432,-0.04791,-0.17484,0.25131,-0.08422
1905,-0.10307,0.08686,-0.19112,-0.08863,0.03518,-0.35175,-0.33852,-0.06964,-0.33429,-0.02032,0.11973,-0.08782,0.12309,-0.18498,-0.07899,-0.14017,-0.07807,0.12415,0.19083,-0.17708,-0.11673,0.23064,0.00016
1906,-0.05923,0.06925,-0.10704,0.07118,0.14212,-0.32037,-0.11355,0.01464,-0.51026,0.01853,0.17904,-0.09235,0.22285,-0.11476,-0.03925,-0.11033,-0.09949,0.01296,0.05595,-0.15142,-0.19106,0.16061,-0.11757
1907,0.05692,0.08367,-0.03897,0.11114,-0.00365,-0.14961,0.04038,-0.12478,-0.35456,0.02768,0.19364,-0.10319,0.12364,-0.09538,0.08377,-0.00508,0.06167,-0.02843,-0.09261,-0.26585,-0.01168,0.17583,0.04463
1908,0.0153,0.20017,-0.07333,0.02418,-0.06735,-0.2038,-0.0494,-0.07606,-0.18621,0.13136,0.15897,0.10617,0.24594,0.06327,0.05492,-0.15908,0.02858,-0.08037,0.12864,-0.17999,-0.05727,0.19323,0.12914
1909,-0.01698,0.18469,0.20719,0.02804,-0.04553,-0.25431,0.01217,-0.15752,-0.33615,0.06037,0.08951,0.1112,0.42003,0.17352,-0.07013,-0.33183,-0.02053,-0.14205,0.18577,-0.13834,-0.12742,0.34552,0.13895
1910,0.1672,0.22475,0.27617,-0.0088,0.01682,-0.19743,-0.21428,0.03614,-0.26376,0.13575,0.18581,0.10489,0.16483,0.06973,-0.01444,-0.30818,-0.04821,0.00939,0.20615,-0.12525,-0.04884,0.36149,0.07809
