Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1945,0.39907,0.27933,0.23948,0.09718,0.36373,0.14988,-0.08949,0.32582,0.6982,0.28647,0.2701,0.34485,0.34738,0.36553,0.40745,-0.08543,-0.11966,0.31592,0.19538,0.07361,0.3387,-0.05412,0.15422
1946,0.25909,0.20388,0.1252,0.27564,0.34974,0.16899,-0.02412,0.22697,0.74771,0.23175,0.35964,0.27342,0.31628,0.05935,0.154,0.04081,-0.04874,0.473,0.34753,0.01018,0.3043,0.03281,0.23198
1947,0.21794,0.02945,0.23545,0.36398,0.42065,-0.11899,0.01079,0.11059,0.61842,0.36834,0.34693,0.36874,0.33484,0.07959,0.02215,0.09209,0.05593,0.41866,0.33883,-0.0019,0.31249,0.23072,0.43917
1948,0.4021,0.40796,0.51153,0.27741,0.49353,-0.03517,-0.05392,0.11064,0.57604,0.38518,0.33474,0.46511,0.4247,0.19334,0.09784,-0.00028,0.01791,0.20564,0.4183,0.21353,0.32286,0.14029,0.43
1949,0.16919,0.41419,0.28072,0.33662,0.48144,0.1767,-0.08507,0.20299,0.65216,0.40396,0.33379,0.39549,0.33236,0.19013,0.24618,0.13398,-0.18304,0.21159,0.3989,0.19168,0.38957,0.08961,0.43707
1950,0.22117,0.18585,0.1967,0.16553,0.50484,0.20817,-0.05063,0.02241,0.65938,0.38251,0.40109,0.26035,0.30828,0.18954,0.37095,-0.04804,-0.22336,0.27999,0.38494,0.25394,0.52018,0.18164,0.52232
1951,0.26286,0.34418,0.36796,0.13874,0.49851,0.11904,-0.13344,0.12888,0.68156,0.32497,0.33857,0.41533,0.26757,0.14941,0.05624,-0.03359,-0.21039,0.46655,0.309,0.33909,0.36292,0.08626,0.60807
1952,0.24287,0.2022,0.42456,0.26861,0.43654,0.10572,-0.18089,0.18321,0.75525,0.3351,0.24925,0.56123,0.09835,0.12367,0.05564,0.08845,-0.12726,0.52505,0.17813,0.16309,0.40218,0.10726,0.53084
1953,0.36699,0.4302,0.37924,0.30956,0.46079,-0.03321,-0.03529,0.17416,0.81198,0.30589,0.15326,0.44333,0.27443,0.03114,0.26627,0.25836,-0.08881,0.36138,0.0824,0.13588,0.43714,0.22308,0.66816
1954,0.50508,0.53333,0.12782,0.24238,0.48182,-0.0001,-0.03408,0.10194,0.68217,0.3626,0.30409,0.32638,0.32978,0.07211,0.10361,0.09872,0.19313,0.29263,0.19659,0.22284,0.60198,0.22147,0.53227
1955,0.34775,0.51871,0.34674,0.30102,0.55818,0.02428,0.07153,0.14285,0.81843,0.40453,0.44096,0.45383,0.35273,0.24148,0.1063,-0.03316,0.0107,0.18457,0.34894,0.04916,0.49558,0.15846,0.33913
1956,0.30965,0.33415,0.51807,0.21735,0.43167,-0.04498,-0.16134,0.03918,0.74837,0.37361,0.45026,0.49435,0.19661,0.35723,0.35693,0.13864,0.08338,0.15558,0.16573,-0.05687,0.51695,0.09965,0.3531
1957,0.29732,0.50235,0.3563,0.34433,0.47534,0.06392,0.0554,0.15262,0.75078,0.37713,0.41194,0.59819,0.29531,0.36502,0.28482,0.15918,0.02955,0.18678,0.24811,-0.13005,0.50832,0.14355,0.37408
1958,0.23114,0.56891,0.16294,0.35525,0.54633,0.13835,0.10662,0.12208,0.71521,0.33622,0.43829,0.62495,0.32405,0.23955,0.09655,0.0755,0.13144,0.17301,0.33404,-0.04808,0.41436,0.268,0.4173
1959,0.31845,0.3769,0.22237,0.20597,0.63833,-0.02834,-0.02451,0.21219,0.68269,0.44803,0.4288,0.3831,0.26613,0.10704,0.13661,0.08882,-0.01628,0.26032,0.26625,0.16157,0.48979,0.32591,0.51135
1960,0.29462,0.39091,0.11558,0.17898,0.64024,0.08838,0.0624,0.27597,0.7651,0.4698,0.26759,0.47636,0.4484,0.08456,0.35251,0.14041,0.00309,0.44678,0.26608,0.23219,0.55284,0.21306,0.52793
1961,0.45369,0.49418,0.16502,0.3458,0.56829,0.15053,0.13951,0.23151,0.75482,0.48055,0.34695,0.48427,0.41612,0.09812,0.46889,0.11704,-0.09198,0.51728,0.13213,0.36085,0.47557,0.14072,0.34868
1962,0.50687,0.39049,0.29849,0.44748,0.52036,0.11942,0.09327,0.15551,0.65677,0.40732,0.36918,0.70984,0.10342,0.37854,0.05374,0.0042,0.05979,0.26234,0.17786,0.3554,0.51857,0.16279,0.26013
1963,0.42328,0.21096,0.37185,0.30277,0.52139,-0.01038,-0.08426,-0.04902,0.60743,0.19016,0.37419,0.51615,0.38736,0.43293,-0.14466,-0.20856,-0.17933,0.08351,0.09884,0.06924,0.44408,0.02669,0.11492
1964,0.32594,0.0339,0.3794,0.08678,0.5559,0.15905,-0.04442,-0.12692,0.35665,0.18952,0.24577,0.40232,0.11931,-0.04279,-0.1866,-0.23529,-0.4577,0.02981,0.11487,-0.13833,0.36931,-0.27054,0.28682
1965,0.3281,0.264,0.49132,0.0833,0.52155,0.10088,-0.13487,-0.13211,0.35184,0.24793,0.27518,0.4461,-0.14815,-0.16158,0.01475,-0.27737,-0.27031,0.13831,0.06088,-0.25089,0.29793,-0.17043,0.30016
1966,0.29305,0.23637,0.31436,0.26331,0.61177,0.02627,0.11985,-0.14497,0.50624,0.23908,0.30375,0.45556,0.19873,-0.08751,0.23846,-0.2172,-0.17008,0.24367,0.1,-0.32501,0.21157,0.05919,0.24491
1967,0.18551,0.38121,0.08673,0.48814,0.62453,-0.07118,0.29045,-0.05867,0.4522,0.37915,0.25018,0.47269,0.39333,0.11914,-0.01855,-0.15331,-0.33672,0.31917,0.12852,-0.477,0.21044,0.13196,0.11225
1968,0.445,0.47792,0.32029,0.52614,0.59719,0.15791,0.00292,0.11486,0.40865,0.36229,0.22538,0.47782,0.25432,0.33769,-0.07886,-0.01478,-0.48195,0.3519,0.09194,-0.30103,0.3684,0.12149,0.13305
1969,0.58398,0.43171,0.39622,0.20661,0.63061,0.31151,0.21687,0.11788,0.48193,0.3279,0.19652,0.55471,0.24448,-0.02391,0.11423,0.05685,-0.41914,0.26368,0.03023,-0.33638,0.38083,0.09825,0.16922
1970,0.50871,0.52742,0.48141,0.05676,0.59202,0.16109,0.01851,0.05226,0.51009,0.32459,0.21772,0.35953,0.31189,0.0018,0.27434,-0.09581,-0.2701,0.16719,0.11462,-0.28075,0.42989,0.03779,0.27974
1971,0.24221,0.5669,0.62029,0.11404,0.57933,0.28855,0.17447,0.02178,0.57119,0.38329,0.20106,0.39516,0.4244,0.08812,0.03041,-0.025,-0.36186,0.17493,0.16763,-0.27977,0.49086,0.05899,0.20405
1972,0.31384,0.44213,0.46411,0.46186,0.64311,0.20068,0.05546,0.1154,0.69107,0.19737,0.22519,0.53336,0.47985,0.01293,0.0135,0.07813,-0.35,0.20894,0.08971,-0.0497,0.38049,0.25195,0.07869
1973,0.2589,0.38358,0.31896,0.6978,0.57769,0.10835,0.18106,0.25284,0.54026,0.18579,0.30036,0.68515,0.48582,0.12233,0.16321,0.09098,-0.35128,0.35965,0.08767,-0.01312,0.31448,0.29186,-0.00359
1974,0.39613,0.43489,0.1998,0.6165,0.69204,0.25713,0.10909,0.06237,0.62359,0.23702,0.24654,0.43369,0.47132,0.18884,0.20556,-0.01086,-0.37433,0.36582,0.29074,0.11459,0.37687,0.15165,0.32212
1975,0.24157,0.31165,0.23155,0.46001,0.68749,0.30321,-0.02611,0.04534,0.82489,0.37838,0.30858,0.40721,0.5643,0.29896,0.3409,-0.05904,-0.22711,0.1573,0.23616,0.14904,0.2632,-0.00808,0.22367
1976,0.41909,0.50201,0.41413,0.51693,0.61525,0.12797,0.01984,0.13819,0.72433,0.34801,0.32401,0.56628,0.56013,0.10803,0.23408,-0.17952,-0.20466,0.07047,-0.01253,0.06022,0.34011,0.14536,0.11749
1977,0.52055,0.28218,0.55129,0.51832,0.66222,0.22481,0.04092,0.15376,0.53074,0.3359,0.42579,0.55619,0.53768,0.13386,0.00682,-0.00731,-0.2562,0.21398,0.07253,0.16355,0.47577,0.26901,0.18831
1978,0.27831,0.36728,0.52997,0.53867,0.66641,0.23703,0.12393,0.14576,0.65459,0.33832,0.44986,0.51395,0.57267,0.39999,0.09166,-0.0768,-0.14572,0.25011,0.2274,0.26273,0.37059,0.18543,0.14025
1979,0.52122,0.51007,0.6778,0.70065,0.58176,0.23048,0.18602,0.28565,0.73017,0.4736,0.47886,0.58747,0.66132,0.29809,0.1789,-0.01857,-0.22731,0.38745,0.1886,0.34037,0.49764,0.13173,0.21131
1980,0.45083,0.44255,0.72602,0.64085,0.66961,0.59158,0.18935,0.14196,0.75913,0.44636,0.47778,0.74129,0.52325,0.09986,0.36033,0.00131,-0.27023,0.57017,0.18409,0.14083,0.62707,0.08434,0.12273
1981,0.52965,0.48742,0.74236,0.5433,0.68816,0.51697,0.19995,0.21231,0.83363,0.42562,0.39239,0.63971,0.64824,0.10654,0.45417,-0.12245,-0.15519,0.50426,0.28852,0.13814,0.75261,0.25371,0.27295
1982,0.4227,0.4784,0.65955,0.69337,0.77231,0.39784,0.10962,0.16498,0.88505,0.43333,0.41502,0.36906,0.62953,0.34991,0.11206,-0.02222,-0.11556,0.43832,0.39818,0.04109,0.52004,0.34229,0.21575
1983,0.43268,0.51495,0.68627,0.79908,0.50455,0.28605,-0.00828,0.07887,0.74029,0.04608,0.09756,0.21978,0.51381,0.3111,0.02665,-0.11971,-0.10664,0.32779,0.20062,-0.13105,0.48119,0.08658,-0.16334
1984,0.44865,0.66801,0.65999,0.69403,0.54273,0.23688,0.17924,0.20482,0.6382,0.32358,0.15221,0.37963,0.43271,0.50493,0.18362,0.06517,-0.11172,0.57948,0.10129,-0.13801,0.60212,-0.00174,0.12678
1985,0.50175,0.51762,0.59086,0.62039,0.66676,0.46395,0.27384,0.30315,0.56739,0.43747,0.27217,0.28395,0.61831,0.32223,0.48875,-0.01497,-0.19256,0.64143,0.50664,0.05102,0.56315,0.08206,0.10085
1986,0.54463,0.66019,0.54595,0.64953,0.55363,0.44578,0.3917,0.42908,0.73781,0.46709,0.33905,0.58789,0.62228,0.14802,0.49327,0.04955,-0.00675,0.59191,0.35272,0.01045,0.6893,0.24692,0.17958
1987,0.64799,0.74418,0.75607,0.68431,0.64388,0.65838,0.33331,0.16144,0.93777,0.43985,0.29458,0.83154,0.77712,0.2959,0.19324,0.05783,-0.00988,0.4773,0.31719,-0.14362,0.74692,0.27285,0.20709
1988,0.51841,0.72939,0.80026,0.68875,0.69534,0.59416,0.41053,0.16503,1.05687,0.51927,0.41773,1.04131,0.9683,0.33375,0.21158,0.0455,-0.02358,0.45134,0.3822,-0.0026,0.88022,0.21355,0.39555
1989,0.75216,0.72818,0.77854,0.80257,0.73109,0.5014,0.43255,0.33139,1.20941,0.60628,0.53584,1.18593,0.8353,0.29951,0.34079,0.21178,0.13558,0.59779,0.26976,0.24503,0.77504,0.32493,0.48287
1990,0.78877,0.78494,0.77977,0.85122,0.74223,0.65305,0.47284,0.43169,0.82818,0.77045,0.53065,0.76744,0.93115,0.38796,0.5125,0.32848,0.27985,0.74013,0.35143,0.78967,0.87146,0.58705,0.60184
1991,0.62057,0.81402,0.97856,0.72839,0.73558,0.6102,0.41868,0.36879,0.80251,0.69879,0.66792,0.67993,1.03389,0.29211,0.67664,0.34618,0.07804,0.69316,0.41106,0.49475,0.8081,0.58591,0.4907
1992,0.46012,0.54966,0.52128,0.53634,0.64852,0.51392,0.39062,-0.00795,0.81482,0.30391,0.2791,0.58681,0.40307,0.14586,0.02201,0.12411,-0.16962,0.46493,0.10113,0.09612,0.60951,-0.07522,0.04074
1993,0.46395,0.66279,0.417,0.47316,0.65231,0.62868,0.2526,0.1031,0.76213,0.2292,0.17217,0.6312,0.69293,0.33731,-0.06196,0.04166,0.03864,0.59322,0.28721,0.19725,0.67063,0.00174,0.12655
1994,0.70601,0.60166,0.42183,0.41406,0.79579,0.55326,0.23778,0.23725,0.79105,0.45773,0.3862,0.69565,0.58287,0.46358,0.15985,0.06245,0.18377,0.57516,0.41031,0.46568,0.79457,0.2494,0.33869
1995,0.83205,0.6367,0.54271,0.45175,0.77838,0.74862,0.36539,0.27795,0.81538,0.56886,0.4841,0.90638,0.77459,0.18122,0.38814,0.17534,0.17612,0.45672,0.38171,0.43401,0.75978,0.23323,0.32818
1996,0.94356,0.70725,0.56671,0.62838,0.85057,0.58406,0.38639,0.46327,0.97429,0.66319,0.60505,0.99688,0.86293,0.11208,0.51517,0.2671,0.32699,0.75391,0.31239,0.49932,0.86443,0.31644,0.50274
1997,0.71433,0.61842,0.75167,0.86533,0.8665,0.66155,0.54,0.32792,1.16807,0.7544,0.63747,0.92406,0.78089,0.25938,0.62248,0.3307,0.407,0.88491,0.46677,0.38767,0.92028,0.39615,0.52294
1998,0.8603,0.65384,0.73437,0.94965,0.84697,0.75044,0.42854,0.3856,1.2991,0.73721,0.69901,0.8238,0.91906,0.29031,0.2476,0.34082,0.58253,0.85567,0.66128,0.08056,0.87563,0.45083,0.65827
1999,0.82021,0.80979,0.80111,0.88097,0.94515,0.727,0.53489,0.49717,1.2872,0.80989,0.72435,0.91475,0.92302,0.6809,0.24585,0.33837,0.53523,0.8421,0.56058,-0.06587,0.9624,0.49108,0.77859
2000,1.04913,0.8406,0.79853,0.87314,0.84289,0.85876,0.60824,0.65291,1.31602,0.86135,0.74512,1.00844,0.97116,0.5882,0.42572,0.46308,0.61641,0.80636,0.70485,-0.03645,1.00133,0.60417,0.70504
2001,1.06608,1.03577,1.03874,1.23455,0.9373,1.00725,0.62174,0.53973,1.47025,0.84984,0.7656,0.91211,1.05891,0.50828,0.63806,0.69901,0.63552,0.83095,0.69263,0.27463,1.02337,0.72599,0.62264
2002,1.03749,0.89841,1.29414,1.1872,0.96666,0.68806,0.51232,0.5312,1.45285,0.70481,0.8654,0.81891,0.90595,0.46853,0.57555,0.73198,0.76073,0.86548,0.56863,0.42202,1.12784,0.67581,0.77412
2003,1.15221,0.99907,1.24106,0.99168,1.0334,0.8284,0.71405,0.70772,1.3357,0.85156,0.90327,0.91648,1.14227,0.6559,0.56809,0.69953,0.64245,1.00795,0.69277,0.61456,1.20865,0.60863,0.81567
2004,1.17417,0.93447,1.08388,0.93191,0.98983,0.78082,0.81348,0.54979,1.38804,0.95256,0.88411,0.91547,1.18125,0.81738,0.82994,0.79997,0.64244,0.95454,0.76438,0.84009,1.18465,0.69135,0.78823
2005,1.023,0.96869,1.1098,0.95318,1.08142,0.68401,0.69628,0.63831,1.34308,0.89395,0.87956,1.20479,1.19842,0.61288,0.84872,0.80709,0.69402,0.84004,0.92158,0.89722,1.14431,0.6305,0.81496
2006,1.10955,0.91907,1.22652,1.1778,1.02081,0.85823,0.67406,0.64507,1.48151,0.85676,0.89984,1.22286,1.08916,0.49496,0.46679,0.99088,0.62927,0.85468,0.84509,0.61624,1.18019,0.54365,0.88257
2007,1.27191,0.97303,1.38434,1.286,1.19838,1.0095,0.83823,0.48981,1.42884,0.84104,0.87851,0.96591,1.07191,0.57017,0.44059,0.87201,0.70761,0.94031,0.80266,0.38978,1.23207,0.5969,0.83478
2008,1.27018,0.71131,1.45505,1.39865,1.16898,0.84938,0.88681,0.65719,1.4895,0.86489,0.85256,1.05216,1.32662,0.87171,0.61571,0.82363,0.81662,1.08018,0.9086,0.32081,1.21574,0.68091,0.93773
2009,1.31302,0.83297,1.39545,1.1654,1.18263,0.84795,0.77303,0.58967,1.5075,0.9416,0.87135,1.46595,1.32316,0.89905,0.72101,0.85923,0.84165,0.94401,0.79072,0.48308,1.23624,0.78214,0.91804
2010,1.33163,1.00811,1.24533,1.12982,1.2218,0.98166,0.89069,0.76996,1.49236,1.01747,0.8195,1.5169,1.24066,0.58313,0.96348,1.04967,0.88587,0.96237,0.69573,0.50111,1.2762,0.68719,0.88252
2011,1.13211,1.06609,1.34112,1.27947,1.16373,0.87472,0.8898,0.89129,1.61167,0.95519,0.78261,1.14176,1.40927,0.57081,0.74109,1.21072,0.94743,1.03619,0.73429,0.46397,1.39696,0.70636,1.16785
2012,1.24512,1.08011,1.47062,1.37474,1.25507,1.12864,0.90411,1.02815,1.79956,0.95468,0.82555,1.38587,1.49101,0.68684,0.67384,1.12565,0.90068,0.98332,0.86206,0.5734,1.35965,0.88003,1.22925
2013,1.21487,0.95955,1.42043,1.21384,1.23464,1.00847,0.91318,0.74662,1.73663,1.02594,0.85869,1.35727,1.447,1.04043,0.76456,1.11424,0.98092,0.89823,0.90407,0.79733,1.32502,0.98591,1.28066
2014,1.24286,1.02489,1.34713,1.13225,1.28731,0.92101,0.79863,0.96452,1.74835,0.9531,0.87357,1.23355,1.49819,0.92124,0.91052,1.23323,1.03801,0.96134,0.90663,0.95412,1.45991,0.7176,1.09995
2015,1.23066,1.17904,1.43934,0.99519,1.39322,1.09215,0.91604,1.04079,1.79188,0.9375,0.97114,1.17277,1.39796,0.56202,1.1146,1.32223,1.07675,1.05051,1.11065,1.01887,1.54095,0.75084,1.31227
2016,1.37079,1.20857,1.66057,1.12182,1.33002,1.05031,0.95478,0.93919,1.86132,0.92636,0.98241,1.25014,1.27621,0.49843,0.80957,1.31933,1.14711,1.18147,1.15993,0.98495,1.59416,0.93408,1.21722
2017,1.40664,1.00008,1.60552,1.25258,1.45018,0.97474,1.0737,1.11766,1.6518,0.98679,0.85997,1.62709,1.28029,0.73746,0.68082,1.30757,1.1316,1.10267,1.23767,0.90535,1.75251,1.09887,1.27922
2018,1.53251,1.18777,1.01018,1.2634,1.59217,1.18411,1.06427,1.13728,1.51736,0.9542,0.93057,1.57047,1.23133,0.977,0.86766,1.43396,1.16394,0.98903,0.99769,0.83333,1.71505,1.17909,1.35285
2019,1.51326,1.25801,0.97828,0.98259,1.52423,1.16285,1.24106,1.08851,1.73072,1.03024,1.0664,1.50241,1.4016,0.76246,1.04287,1.35158,1.3208,0.87867,0.99377,1.00088,1.8282,1.16587,1.38792
2020,1.39863,1.03322,0.89073,0.82882,1.44746,1.3117,0.93957,1.13552,1.76707,1.10174,1.08753,1.56967,1.38333,0.68192,1.28405,1.44745,1.31615,1.04013,1.07145,1.07983,1.88724,0.91791,1.46632
2021,1.55113,1.23037,1.3388,1.05368,1.44559,1.28153,1.10407,1.22409,1.53282,1.0848,1.20969,1.58955,1.56669,0.69203,1.03046,1.5937,1.19699,1.3382,1.24499,0.96473,1.99884,0.97905,1.64028
2022,1.70269,1.21395,1.52209,1.33744,1.54135,1.16215,1.20324,1.37461,1.52046,1.17087,1.24698,1.44786,1.40219,0.87325,1.18994,1.83176,1.43121,1.19922,1.51267,0.93211,2.10818,1.16796,1.52573
2023,1.69712,1.03309,1.45533,1.28723,1.56913,1.2936,0.98845,1.3517,1.8835,1.12768,1.16572,1.49778,1.53783,1.00892,1.41221,1.69006,1.53343,1.17763,1.40749,0.90585,2.0919,1.25564,1.59313
2024,1.66927,1.19393,1.50305,1.17974,1.68759,1.51409,1.29046,1.38094,1.84931,1.40659,1.26152,1.73117,1.6012,1.20497,1.16499,1.69091,1.48433,1.4016,1.36416,0.65195,2.11839,1.17515,1.67098
2025,1.6135,1.31983,1.42537,1.29986,1.7872,1.541,1.30757,1.44985,1.50014,1.34886,1.19977,1.79255,1.44069,0.88442,0.96294,1.85329,1.69405,1.24255,1.37217,0.67889,2.23938,1.17402,1.70976
2026,1.6561,1.49597,1.47383,1.48445,1.77786,1.33706,1.37655,1.47039,1.66039,1.36146,1.19886,1.89948,1.67032,0.92191,0.95315,1.88573,1.64874,1.22313,1.40741,0.74613,2.24556,1.28996,1.52991
2027,1.68787,1.25645,1.67237,1.50333,1.82031,1.34715,1.22097,1.61528,1.98478,1.37158,1.22877,1.77152,1.7357,1.07637,1.06641,1.84197,1.69698,1.22927,1.43101,0.83052,2.26141,1.19803,1.53962
2028,1.67819,1.39081,1.74852,1.22156,1.86714,1.43287,1.29123,1.60773,1.88779,1.32023,1.33,1.70469,1.59152,1.33547,1.33549,1.93203,1.71095,1.40586,1.4018,0.99576,2.29197,1.17828,1.44749
2029,1.7764,1.36319,1.68636,1.34911,1.94634,1.50743,1.35731,1.57539,1.76445,1.3796,1.28514,1.77218,1.73617,1.42572,1.39049,1.88037,1.82575,1.38285,1.51086,1.07096,2.22818,1.18026,1.60036
2030,1.8013,1.22565,1.5536,1.32031,1.87512,1.3496,1.43023,1.5131,1.77579,1.38193,1.4074,1.66626,1.77515,1.03733,1.0691,1.89931,1.88499,1.46601,1.30625,1.20863,2.26899,1.33743,1.56719
2031,1.7649,1.44003,1.56326,1.7781,1.8631,1.60353,1.38638,1.65435,1.93805,1.37738,1.46565,1.837,1.86977,1.05282,0.99068,1.83,2.04424,1.60495,1.46872,1.081,2.34004,1.23879,1.68462
2032,1.87986,1.41308,1.7411,1.83687,1.86303,1.69877,1.31007,1.52502,2.13996,1.42012,1.37905,2.13413,1.83149,1.30362,1.33336,1.95314,2.05323,1.33104,1.53973,1.11437,2.34417,1.26892,1.61933
2033,1.81392,1.23001,1.85007,1.55535,2.07196,1.65485,1.54668,1.69759,1.88402,1.34315,1.45552,1.98489,1.87376,1.54338,1.54495,1.8969,1.91648,1.38569,1.46054,1.15119,2.27798,1.14667,1.65331
2034,1.71797,1.39096,1.90188,1.48856,2.10674,1.5137,1.43019,1.78538,1.92647,1.48049,1.50068,1.96013,2.05685,1.41452,1.35752,2.04495,1.88115,1.47361,1.56345,1.03165,2.34062,1.23862,1.61683
2035,1.77723,1.57471,2.01737,1.55485,2.09794,1.50235,1.395,1.79319,2.05593,1.49269,1.49721,1.87889,2.00295,1.1554,1.30248,2.10485,1.85344,1.42979,1.58886,0.87605,2.58903,1.37964,1.70727
2036,1.91837,1.38035,2.0623,1.81624,2.12487,1.64921,1.55061,1.52524,1.96276,1.49052,1.55238,2.12423,2.04303,1.26093,1.34692,1.84812,2.15528,1.34779,1.70072,1.0866,2.6392,1.41426,1.86818
2037,1.76309,1.55194,2.04782,1.95923,2.12824,1.70174,1.56753,1.71832,1.9593,1.48095,1.45474,2.22133,2.04758,1.39814,1.43263,2.02853,2.20172,1.451,1.87961,1.56569,2.60558,1.47483,1.95608
2038,2.04235,1.64685,1.87554,1.821,2.1231,1.62577,1.48672,1.96504,2.00173,1.49557,1.6339,2.0273,2.05704,1.58347,1.6298,2.0527,2.24795,1.45725,1.75972,1.44118,2.63346,1.44219,2.06589
2039,2.14186,1.70963,1.91533,1.88852,2.24053,1.71069,1.52042,1.90744,2.25633,1.42665,1.70932,2.29488,1.85209,1.42808,1.41129,2.15094,2.21864,1.54559,1.76758,1.10227,2.67075,1.39715,2.17045
2040,2.06592,1.53582,1.80139,2.00775,2.06481,1.71436,1.55453,2.12483,2.25029,1.55972,1.64434,2.57219,2.05339,1.14446,1.337,2.32604,2.34902,1.68498,1.67469,1.11846,2.70006,1.34596,2.03304
2041,2.01866,1.64011,2.04124,2.2509,2.23458,1.61981,1.62651,2.04307,2.27281,1.69732,1.65212,2.35816,2.08503,1.14212,1.5475,2.24155,2.28191,1.84775,1.68801,1.21436,2.72246,1.38712,1.88684
2042,2.06188,1.60688,2.15729,2.24346,2.34985,1.89274,1.4153,2.21412,2.21546,1.71518,1.51058,2.2123,1.9191,1.26212,1.84908,2.26216,2.34545,1.77714,1.72198,1.297,2.63525,1.26721,1.95907
2043,2.05396,1.79303,2.34556,1.99914,2.3525,1.86906,1.61685,2.2469,2.22993,1.78495,1.55487,2.27419,2.0437,1.59206,1.6013,2.44973,2.20769,1.6185,1.74503,1.1962,2.82179,1.36924,1.89793
2044,2.10622,1.55018,2.327,2.10445,2.4118,2.06404,1.64497,2.1246,2.06441,1.77608,1.55464,2.16455,2.04285,1.74531,1.35394,2.46714,2.38075,1.62971,1.81621,1.2869,2.77737,1.40982,2.02059
2045,2.25931,1.71072,2.17297,2.16942,2.35879,1.97512,1.54051,2.24516,2.22827,1.81197,1.61932,2.34784,1.91027,1.41312,1.49808,2.44802,2.48626,1.70716,1.97696,1.36891,2.83644,1.39113,1.98153
2046,2.15059,1.78007,2.16251,2.25972,2.41394,1.9503,1.74127,2.2269,2.26868,1.74464,1.58424,2.52758,2.07314,1.48004,1.79896,2.43744,2.54046,1.66623,2.00065,1.76778,2.92571,1.48379,2.1794
2047,2.11808,1.86358,2.40107,2.45713,2.53847,1.97651,1.71052,2.32806,2.48516,1.71992,1.54386,2.66813,2.19961,1.60623,1.76651,2.39931,2.66212,1.689,1.98429,1.63815,2.96382,1.57928,2.15068
2048,2.42501,1.65425,2.62466,2.55458,2.56906,1.9511,1.90227,2.34246,2.52376,1.82859,1.70876,2.59233,1.94834,1.82804,1.52697,2.58524,2.64971,1.98816,2.04681,1.64227,2.94514,1.4525,2.12377
2049,2.30071,1.72451,2.54806,2.42749,2.697,2.07764,2.10766,2.35067,2.32371,1.8269,1.68224,2.55933,2.05124,1.7058,1.53759,2.71711,2.5701,2.00913,2.05069,1.68347,3.03628,1.636,2.14018
2050,2.17002,1.93778,2.39293,2.18502,2.65329,2.21131,1.9527,2.26605,2.32273,1.816,1.76058,2.58892,2.20024,1.26924,1.75716,2.62791,2.67999,2.00387,2.09638,1.59442,3.12069,1.5484,2.28934
2051,2.25766,1.8155,2.53958,2.37201,2.76257,1.99928,1.82463,2.40863,2.56879,1.70154,1.70686,2.37506,2.27836,1.30986,1.9805,2.6513,2.7664,1.87711,2.05446,1.63982,3.09207,1.60744,2.28182
2052,2.38093,1.59832,2.66649,2.56242,2.77981,2.15465,2.06844,2.39817,2.42226,1.84964,1.71314,2.59053,2.20719,1.54128,1.828,2.65236,2.70875,1.97616,2.00775,1.83272,3.05562,1.6031,2.23604
2053,2.46197,1.60423,2.55821,2.77558,2.64666,2.28242,1.84713,2.61208,2.3162,1.75117,1.61338,2.91575,2.15981,1.79401,1.66192,2.63777,2.81942,1.88138,2.16644,1.74005,3.03901,1.79023,2.35649
2054,2.56826,2.03811,2.53076,2.82066,2.69747,2.20705,1.94231,2.47914,2.45479,1.80781,1.68414,2.91091,2.31105,1.65701,1.69647,2.76109,2.87873,2.03274,2.20746,1.64998,3.22081,1.59639,2.30808
2055,2.61459,1.91616,2.61019,2.56221,2.90519,2.16229,2.07559,2.65075,2.5239,1.90876,1.67245,2.7399,2.05188,1.72738,1.97471,2.80888,2.87462,2.02854,2.16038,1.69254,3.21713,1.69455,2.3751
2056,2.44316,1.96976,2.6289,2.58237,2.89007,2.23279,1.88434,2.72516,2.50993,1.98037,1.62151,2.52307,2.22486,1.7379,2.17413,2.77478,2.91628,1.83343,2.30356,1.6598,3.30756,1.8531,2.48907
